dispatching_base_number,date,active_vehicles,trips,trip_date
B02765,2/22/2015,566,5034,2015-02-22
B02598,2/23/2015,966,8943,2015-02-23
B02617,2/23/2015,1332,11720,2015-02-23
B02764,2/23/2015,3734,31173,2015-02-23
B02682,2/23/2015,1262,11714,2015-02-23
B02765,2/23/2015,665,5823,2015-02-23
B02512,2/23/2015,238,1844,2015-02-23
B02764,2/24/2015,3965,34686,2015-02-24
B02512,2/24/2015,247,1869,2015-02-24
B02598,2/24/2015,1061,9954,2015-02-24
B02682,2/24/2015,1346,12497,2015-02-24
B02617,2/24/2015,1456,13719,2015-02-24
B02765,2/24/2015,698,6390,2015-02-24
B02512,2/25/2015,246,1647,2015-02-25
B02598,2/25/2015,1076,9405,2015-02-25
B02765,2/25/2015,706,6178,2015-02-25
B02682,2/25/2015,1395,12693,2015-02-25
B02617,2/25/2015,1473,12811,2015-02-25
B02764,2/25/2015,3934,31957,2015-02-25
B02598,2/26/2015,1134,10661,2015-02-26
B02617,2/26/2015,1539,14461,2015-02-26
B02682,2/26/2015,1465,13814,2015-02-26
B02512,2/26/2015,243,1797,2015-02-26
B02765,2/26/2015,745,6744,2015-02-26
B02764,2/26/2015,4101,36091,2015-02-26
B02765,2/27/2015,786,7563,2015-02-27
B02617,2/27/2015,1551,14677,2015-02-27
B02598,2/27/2015,1114,10755,2015-02-27
B02512,2/27/2015,272,2056,2015-02-27
B02764,2/27/2015,4253,38780,2015-02-27
B02682,2/27/2015,1510,14975,2015-02-27
B02598,2/28/2015,994,10319,2015-02-28
B02764,2/28/2015,3952,39812,2015-02-28
B02617,2/28/2015,1372,14022,2015-02-28
B02682,2/28/2015,1386,14472,2015-02-28
B02512,2/28/2015,230,1803,2015-02-28
B02765,2/28/2015,747,7753,2015-02-28
